Depth,Depth_Decay,Depth_Start,Dropout_Rate,Width,epoch0,epoch100,epoch200,epoch300,epoch400,epoch500,epoch600,epoch700,epoch800,epoch900,epoch1000,epoch1100,epoch1200,epoch1300,epoch1400,epoch1500,epoch1600,epoch1700,epoch1800,epoch1900,epoch2000,epoch2100,epoch2200,epoch2300,epoch2400,epoch2500,epoch2600,epoch2700,epoch2800,epoch2900,epoch3000,epoch3100,epoch3200,epoch3300,epoch3400,epoch3500,epoch3600,epoch3700,epoch3800,epoch3900,epoch4000
3,0.4,50,0.15,50,0.372031,0.772318,0.763309,0.763309,0.764742,0.772318,0.781736,0.79054,0.804668,0.821662,0.834971,0.839885,0.841933,0.842956,0.844799,0.846232,0.845413,0.847256,0.845823,0.849304,0.849918,0.850123,0.851761,0.851761,0.85217,0.85217,0.853399,0.853603,0.851965,0.853808,0.85217,0.85258,0.85258,0.853399,0.855241,0.851965,0.853603,0.854013,0.855241,0.854218,0.853808
3,0.4,50,0.15,100,0.761875,0.760647,0.760647,0.761671,0.770475,0.782965,0.794021,0.816544,0.823096,0.834562,0.839476,0.843775,0.844594,0.844594,0.844594,0.845823,0.847461,0.848689,0.850123,0.849508,0.850532,0.851761,0.851965,0.852989,0.854218,0.854627,0.854832,0.855446,0.856265,0.856265,0.855241,0.855651,0.856265,0.85647,0.85606,0.856265,0.856265,0.856675,0.855446,0.856675,0.856675
3,0.4,50,0.15,150,0.744472,0.760647,0.760647,0.761056,0.768427,0.782146,0.797707,0.824119,0.837019,0.843571,0.846847,0.849918,0.848485,0.848894,0.849918,0.850123,0.85217,0.851965,0.854218,0.852784,0.854013,0.854627,0.85606,0.855242,0.855241,0.856265,0.856265,0.856675,0.857289,0.855856,0.856265,0.855241,0.85647,0.85606,0.85647,0.856675,0.856265,0.856675,0.85647,0.85647,0.857084
3,0.4,50,0.15,200,0.716421,0.761466,0.763104,0.775184,0.791974,0.812449,0.830262,0.835176,0.838247,0.840704,0.844185,0.846847,0.847666,0.849304,0.848689,0.849304,0.850532,0.851761,0.85217,0.851965,0.852784,0.854013,0.853194,0.853808,0.853603,0.854832,0.855446,0.855856,0.856675,0.856265,0.855037,0.855651,0.856265,0.855856,0.856879,0.85647,0.856879,0.856265,0.85647,0.85647,0.857494
3,0.4,50,0.15,250,0.749795,0.760852,0.764128,0.775389,0.791769,0.808558,0.825962,0.834562,0.842547,0.846847,0.847256,0.848894,0.84828,0.849713,0.850327,0.850327,0.85217,0.85258,0.852989,0.854627,0.854422,0.854627,0.853194,0.856265,0.856675,0.855651,0.855446,0.856675,0.855856,0.856879,0.856265,0.857494,0.857084,0.857494,0.858108,0.859336,0.858722,0.858313,0.858108,0.858722,0.857903
3,0.4,50,0.15,300,0.396601,0.761466,0.76249,0.781941,0.805487,0.82371,0.833947,0.838861,0.843775,0.845413,0.847666,0.849918,0.850327,0.851351,0.851146,0.850532,0.85258,0.853603,0.854013,0.855037,0.853808,0.854422,0.854627,0.854218,0.85606,0.857084,0.856879,0.858722,0.857084,0.856879,0.85647,0.857698,0.856675,0.857494,0.857699,0.856879,0.857494,0.856675,0.856879,0.856675,0.857698
3,0.4,50,0.15,350,0.287265,0.762899,0.77416,0.79484,0.820229,0.8319,0.837633,0.841523,0.843366,0.843161,0.845209,0.847461,0.848485,0.849508,0.850327,0.849713,0.852375,0.854422,0.854627,0.85647,0.856675,0.85647,0.857289,0.856675,0.856879,0.857289,0.857289,0.857494,0.857494,0.858722,0.858927,0.857494,0.858517,0.857698,0.858108,0.858108,0.857903,0.858927,0.858927,0.859746,0.860565
3,0.4,50,0.2,50,0.52887,0.767404,0.761671,0.76208,0.771089,0.787879,0.807944,0.826576,0.834562,0.846437,0.846847,0.847051,0.849713,0.849713,0.850942,0.851761,0.851351,0.851761,0.853399,0.852989,0.853399,0.854218,0.855446,0.853808,0.856675,0.855241,0.855651,0.855856,0.855446,0.856265,0.85606,0.85647,0.855651,0.854832,0.857084,0.856265,0.857084,0.856675,0.856675,0.857289,0.855856
3,0.4,50,0.2,100,0.240172,0.760033,0.760647,0.760647,0.763513,0.779689,0.80344,0.828624,0.837019,0.841318,0.846232,0.848894,0.850123,0.850942,0.853194,0.854013,0.855241,0.85606,0.855241,0.85647,0.858313,0.857289,0.857903,0.858108,0.858108,0.858517,0.858517,0.859336,0.858517,0.857903,0.858722,0.859336,0.858722,0.859132,0.859336,0.859541,0.859541,0.859746,0.859541,0.859541,0.859132
3,0.4,50,0.2,150,0.574529,0.761261,0.761261,0.77068,0.794226,0.811015,0.82801,0.837428,0.840295,0.844594,0.846232,0.846847,0.848075,0.849918,0.851146,0.85217,0.850532,0.852375,0.851556,0.852989,0.853399,0.853399,0.853194,0.854218,0.855856,0.856675,0.855651,0.856675,0.857084,0.858517,0.857494,0.857494,0.858108,0.857698,0.859132,0.858313,0.858517,0.858927,0.858517,0.859746,0.859951
